Name,Comment,Time,Likes
MONET8iAM,"The irony of people complaining about big logos. Logomania has resurfaced in recent years with teenage-college age vintage and thrift shopping. You go in Urban Outfitters and Footlocker and see Champion, Fila, Tommy Hilfiger, as well as high end and streetwear designers plastering their logos thriving! Sportswear brands have mad a comeback and designer brands have based their recent collection off of sportswear and streetwear.",2019-12-04T22:24:54Z,1
"bébé, sauve moi","I don't remember ever buying, owning their clothes or even entering a Gap store... to me they have always had grandma clothes",2019-12-04T18:30:52Z,0
Kat Sparkles,"Try considering the pricing of the clothes, no one wants to pay $40 per shirt also old navy doesn't have the best quality of clothes. People see what companies do and instead of giving to charities they destroy left over or returned products",2019-12-04T15:11:00Z,1
Queen Kairi,"Last time I saw a gap sweater was in grade 6, so 4 ish years ago.",2019-12-04T07:38:19Z,0
Mr Funky,Sounds like theres some job openings.............but how do you access information to get your information to the right person(s) for a shot at that kind of career?,2019-12-04T06:17:56Z,1
manga tween,"The actual idea of the name behind 'The Gap' is really interesting, and if the current 'Gap' tried to follow that again by selling popular trendy things, or even some cool retro swag, that could really help.",2019-12-03T22:10:57Z,15
SoCal Indi,Yes they need to go retro. They would boom. I've sold all my 80's stuff to young people the past 10 years. They really go for it.,2019-12-05T12:40:39Z,3
ᄋ.ᄋAgathe,LMAO ok boomer,2019-12-03T21:07:03Z,0
Ionela Bragari,they need to stop putting their logo on everything,2019-12-03T16:42:00Z,0
Chiara Li Paladin,I love GAP but they became too pricey now,2019-12-03T16:31:38Z,0
Butter Lettuce,Lord have mercy 2:08! Where is she buried??,2019-12-03T15:13:38Z,0
Gideon Jabali,Great info but arewseriously gonna ignore 2:08-2:09 ? Dayumn🍆,2019-12-03T10:14:43Z,0
J G,"Stopped buying in gap since 2016. The store eventually closed and became gap outlet. 

Overpriced and low quality. I switched to Abercrombie and holister for better quality and similar price range.",2019-12-03T09:41:23Z,0
A Stranger Who Stays for a While,Easy. The quality is crap and overpriced,2019-12-02T15:06:23Z,0
alliesong77,"I find the cut of the clothing is very straight, like it’s made for people with one shape. I have tried on so many things there and I find that I look like a potato sac in a lot of the clothing. Take American eagle for example, they are doing amazing because they made jeans for varying shaped bodies and they expanded their sizing. They also started putting more realistic size mannequins in their stores for both men and women. People love it. GAP needs to get out of the 2000’s and roll with the times.",2019-12-02T14:23:28Z,0
richard murphy,Retail is in terrible shape its all so sad,2019-12-02T13:23:35Z,0
zeldahopper,It's that the quality of clothing went way down in early 2000's but the prices went up.,2019-12-02T06:33:06Z,2
Jo Santiago,"Hearing someone say ""the young, liberal baby boomers"" caught me off guard",2019-12-01T21:45:40Z,1
Fawkk YuTuu,"I remember when GAP was #1 along with all these big names that don't exist anymore. Malls were better and healthier in the 90's. 
Why did snobby Abercrombie n Fitch survive? they have the yuppiest atmosphere of all time i can't help but laugh at their staff and store.",2019-12-01T20:34:51Z,0
AP,"GAP needs to follow what ""Champion"" did in order to become relevant again",2019-12-01T08:02:43Z,1
Chris Emay,What did they do?,2019-12-03T19:57:37Z,1
